"station_name","effort_window","effort_start","effort_end","n_receiver_deployments","receivers_used","latitude","longitude"
"DI2 Outside Geyser",2,2020-07-05,2021-01-02,1,"126263",-34.69361,19.41277
"DI3 Doldrums/Sharkalley",1,2015-11-06 09:20:00,2018-12-10 11:30:00,4,"126264",-34.68666,19.41833
"DI3 Doldrums/Sharkalley",2,2020-07-05,2021-02-13 11:00:00,2,"126264",-34.68666,19.41833
"DUI",1,2015-03-27 12:50:00,2024-06-19 12:30:00,9,"112462, 120160, 126039, 119176, 112473, 131732, 124032, 126033, 123186",-34.35142,21.00866
"Darwin Reef MB",1,2017-10-23,2018-03-28,1,"119628",-34.1774833,22.1571333
"Dharb",1,2015-08-14 08:45:00,2023-02-28 10:10:00,8,"119105, 123185, 112385, 112443, 123195, 126033, 126038, 120160",-29.864667,31.057183
"Dharb",2,2024-02-19 13:34:00,2025-06-20 12:00:00,1,"120164",-29.864667,31.057183
"Die Dam",1,2015-06-20 15:20:00,2018-03-14 13:50:00,3,"126269",-34.77472,19.69416
"Die Plaat",1,2015-06-20 13:25:00,2017-02-17 16:50:00,2,"126265",-34.5375,19.35272
"Dunes",1,2016-04-11 11:10:00,2020-01-16,4,"128117, 128115, 108813",-34.1128,18.346333
"Durban",1,2015-05-28 07:45:00,2017-07-25,2,"126063, 129000",-29.83766667,31.05108333
"Dyer Island",1,2022-01-17 10:46:00,2024-09-02,1,"126264",-34.68833333,19.42505556
"East Shoal",1,2016-04-15 11:55:00,2019-02-07 10:11:00,3,"128116, 128109, 128117",-34.15108,18.64639
"Evans Peak",1,2015-04-28 09:26:00,2019-07-17 09:40:00,4,"5187, 113320, 128592",-33.84265,25.81635
"FB001",1,2015-10-06 10:07:00,2016-04-08 08:31:00,1,"120147",-34.35546,18.8069
"FB001",2,2016-11-27 11:39:00,2020-04-16 12:34:00,6,"545746, 546762, 545668, 545743, 546768, 547825",-34.35546,18.8069
"FB001",3,2020-09-04 10:24:00,2025-06-13 09:25:00,8,"547834, 545668, 546768, 545758, 546775, 546765, 549569, 546778",-34.35546,18.8069
"FB002",1,2015-03-15 09:34:00,2016-11-07,3,"119099, 120150, 119621",-34.35667,18.8006
"FB002",2,2017-10-18 10:24:00,2020-04-16 12:48:00,5,"546764, 545669, 545745, 546784, 547830",-34.35667,18.8006
"FB002",3,2020-09-04 10:35:00,2025-06-13 09:40:00,8,"547831, 545740, 547825, 545741, 547826, 549807, 546787, 547833",-34.35667,18.8006
"FB003",1,2015-03-15 09:52:00,2016-04-08 09:05:00,2,"123194, 120157",-34.35775,18.79421
"FB003",2,2016-11-27 12:06:00,2020-04-16 12:57:00,6,"545749, 546765, 545670, 546762, 547823, 545678",-34.35775,18.79421
"FB003",3,2020-09-04 10:38:00,2025-06-13 09:51:00,8,"546782, 545749, 547827, 545752, 547828, 545756, 546772, 547834",-34.35775,18.79421
"FHSI",1,2015-03-14 13:48:00,2018-01-21 10:10:00,4,"5280, 128108, 129603, 108887",-34.14166,18.43802
"FHSI",2,2018-05-16 08:00:00,2023-01-30 11:45:00,6,"128112, 108885, 128109, 128116, 128114, 136863",-34.14166,18.43802
"FHSI",3,2023-05-23 10:39:00,2023-12-22 07:00:00,1,"128112",-34.14166,18.43802
"FHSI",4,2024-05-08,2025-05-06 13:00:00,1,"108887",-34.14166,18.43802
"GB001",1,2015-07-15 08:36:00,2025-04-25 16:24:00,17,"123185, 123186, 119110, 120168, 546777, 546779, 545675, 546783, 545676, 545758, 546767, 546780, 547830, 547835, 551312, 551310, 545757",-34.066567,22.242067
"GB002",1,2015-07-15 08:06:00,2019-11-15 10:18:00,8,"123203, 123188, 119625, 112432, 546783, 546780, 545676, 547831",-34.072967,22.246833
"GB002",2,2020-07-03 12:35:00,2025-04-25 16:11:00,8,"546785, 546783, 546765, 549808, 547836, 552858, 545739, 546782",-34.072967,22.246833
"GB003",1,2015-07-15 07:41:00,2025-04-25 15:59:00,17,"123202, 123194, 120150, 112338, 546784, 546781, 545754, 547832, 545670, 545679, 546768, 549563, 549810, 546778, 549567, 549908, 549568",-34.079,22.2513
